customer_id,age,months_active,monthly_charges,total_charges,internet_service,contract_type,payment_method,support_tickets,churn
CUST_000027,24,30,53.31,1432.52,Fiber,Month-to-month,Bank transfer,2,1
CUST_000028,47,22,91.76,1880.27,DSL,Two year,Electronic check,3,1
CUST_000029,32,3,24.12,92.86,Fiber,One year,Credit card,0,0
CUST_000030,37,43,82.54,3596.73,DSL,Month-to-month,Electronic check,4,0
CUST_000031,32,65,52.59,3553.95,Fiber,Month-to-month,Bank transfer,1,0
CUST_000032,69,3,50.0,213.89,DSL,Month-to-month,Bank transfer,1,0
CUST_000033,41,16,70.23,1004.34,Fiber,Month-to-month,Electronic check,3,1
CUST_000034,26,7,35.21,267.76,DSL,Month-to-month,Credit card,1,1
CUST_000035,54,33,48.68,1666.5,DSL,One year,Mailed check,1,0
CUST_000036,23,30,48.02,1253.09,No,Month-to-month,Bank transfer,3,1
CUST_000037,45,3,60.57,177.35,No,Two year,Electronic check,0,0
CUST_000038,18,50,48.92,2412.3,Fiber,Two year,Bank transfer,3,0
CUST_000039,22,4,97.02,322.62,No,Month-to-month,Credit card,5,0
CUST_000040,44,38,100.94,3885.61,DSL,Month-to-month,Bank transfer,4,1
CUST_000041,53,14,24.56,228.87,DSL,One year,Electronic check,5,0
CUST_000042,44,9,75.89,724.67,DSL,One year,Mailed check,5,0
CUST_000043,40,4,82.17,384.64,DSL,Two year,Bank transfer,0,1
CUST_000044,37,4,75.86,411.82,DSL,Month-to-month,Mailed check,2,0
CUST_000045,19,26,51.84,1235.44,Fiber,One year,Credit card,3,0
CUST_000046,31,19,60.12,991.72,DSL,One year,Credit card,5,0
CUST_000047,35,3,50.03,177.99,DSL,Month-to-month,Electronic check,1,0
CUST_000048,57,2,56.59,84.56,Fiber,Month-to-month,Credit card,2,0
CUST_000049,47,1,40.8,331.07,DSL,One year,Credit card,2,0
CUST_000050,18,32,62.7,2052.39,DSL,Month-to-month,Mailed check,2,0
CUST_000051,46,29,34.94,1019.19,DSL,Two year,Electronic check,2,0
CUST_000052,36,1,61.0,61.0,No,Two year,Electronic check,2,0
CUST_000053,31,19,40.03,638.73,DSL,One year,Electronic check,2,0
CUST_000054,51,2,69.14,194.66,No,One year,Credit card,3,1
CUST_000055,57,56,51.41,2871.14,Fiber,Month-to-month,Mailed check,3,0
CUST_000056,55,57,70.81,4028.43,DSL,Two year,Mailed check,3,0
CUST_000057,29,28,86.63,2435.13,DSL,Month-to-month,Electronic check,5,0
CUST_000058,37,62,96.79,6023.04,Fiber,One year,Electronic check,3,0
CUST_000059,46,40,20.0,626.07,No,Two year,Bank transfer,3,0
CUST_000060,56,42,48.32,2112.98,DSL,Month-to-month,Bank transfer,3,1
CUST_000061,34,20,58.94,1094.12,DSL,Month-to-month,Bank transfer,0,1
CUST_000062,39,8,74.21,579.85,DSL,One year,Electronic check,4,1
CUST_000063,25,5,31.99,288.56,DSL,Month-to-month,Credit card,2,1
CUST_000064,24,9,45.36,586.17,No,Month-to-month,Credit card,2,0
CUST_000065,54,23,67.61,1384.91,Fiber,One year,Mailed check,2,1
CUST_000066,62,4,66.7,269.82,DSL,One year,Mailed check,3,0
CUST_000067,40,7,72.55,535.16,No,Month-to-month,Electronic check,2,1
CUST_000068,57,15,73.87,957.35,DSL,Two year,Mailed check,2,0
CUST_000069,47,6,71.77,510.89,Fiber,Month-to-month,Bank transfer,0,1
CUST_000070,32,21,68.87,1457.96,Fiber,One year,Credit card,4,0
CUST_000071,47,61,66.11,4052.42,DSL,Month-to-month,Mailed check,0,0
CUST_000072,65,33,78.3,2491.99,DSL,Month-to-month,Mailed check,0,1
CUST_000073,41,26,20.21,566.84,DSL,Month-to-month,Mailed check,3,0
CUST_000074,65,20,95.89,2001.56,No,One year,Electronic check,1,0
CUST_000075,18,16,20.91,347.3,Fiber,One year,Credit card,2,1
CUST_000076,54,4,43.42,122.27,DSL,Month-to-month,Bank transfer,3,0
CUST_000077,43,54,60.46,3221.49,Fiber,Month-to-month,Mailed check,3,1
CUST_000078,37,6,78.45,492.75,Fiber,One year,Electronic check,3,0
CUST_000079,43,2,20.0,44.88,DSL,Month-to-month,Credit card,3,0
CUST_000080,18,33,64.44,2216.92,Fiber,Month-to-month,Mailed check,1,0
CUST_000081,38,4,80.85,275.37,Fiber,Two year,Credit card,3,1
CUST_000082,47,11,84.89,811.96,DSL,One year,Electronic check,0,1
CUST_000083,64,1,51.05,86.99,No,Month-to-month,Electronic check,0,0
CUST_000084,34,3,58.98,129.2,Fiber,One year,Bank transfer,3,0
CUST_000085,29,4,52.68,289.08,DSL,Two year,Mailed check,1,1
CUST_000086,34,1,57.15,57.9,No,One year,Electronic check,3,0
CUST_000087,55,25,44.36,1174.57,DSL,One year,Electronic check,1,0
CUST_000088,46,43,47.21,1928.81,No,One year,Mailed check,2,0
CUST_000089,34,11,73.69,824.9,DSL,One year,Bank transfer,3,0
CUST_000090,49,49,67.63,3244.06,Fiber,One year,Electronic check,1,0
CUST_000091,43,5,74.83,252.12,Fiber,One year,Bank transfer,1,1
CUST_000092,56,9,69.28,537.41,DSL,One year,Mailed check,1,0
CUST_000093,31,3,79.09,182.81,DSL,Month-to-month,Credit card,1,0
CUST_000094,37,23,82.56,2023.45,Fiber,Month-to-month,Electronic check,2,1
CUST_000095,36,13,30.17,335.06,Fiber,Two year,Electronic check,2,0
CUST_000096,20,22,47.91,926.95,DSL,Two year,Mailed check,2,0
CUST_000097,46,34,60.37,2065.81,No,One year,Electronic check,1,0
CUST_000098,45,18,64.55,1164.75,Fiber,Month-to-month,Mailed check,2,0
CUST_000099,42,23,51.6,1137.55,DSL,Month-to-month,Mailed check,6,1
CUST_000100,38,65,83.24,5394.51,Fiber,Month-to-month,Credit card,3,1
CUST_000101,20,8,104.6,934.41,Fiber,One year,Bank transfer,4,1
CUST_000102,35,10,68.72,754.3,No,Month-to-month,Electronic check,3,0
CUST_000103,36,30,66.69,2059.03,DSL,One year,Mailed check,3,0
CUST_000104,29,22,81.99,1685.39,DSL,One year,Credit card,0,1
CUST_000105,39,4,27.68,399.39,DSL,One year,Credit card,0,0
CUST_000106,48,11,65.57,826.39,No,Two year,Credit card,5,0
CUST_000107,70,15,84.58,1320.41,DSL,Two year,Credit card,2,0
CUST_000108,44,13,52.14,561.35,DSL,One year,Electronic check,3,1
CUST_000109,45,4,40.47,256.65,Fiber,Month-to-month,Electronic check,2,0
CUST_000110,40,61,61.28,3688.2,DSL,Two year,Bank transfer,1,0
CUST_000111,18,34,63.79,2149.31,DSL,Month-to-month,Bank transfer,4,1
CUST_000112,41,15,46.83,534.33,Fiber,Month-to-month,Electronic check,3,0
CUST_000113,42,27,106.92,2762.78,DSL,Two year,Electronic check,4,0
CUST_000114,78,54,55.43,3036.86,Fiber,Month-to-month,Credit card,1,0
CUST_000115,39,3,41.93,226.4,DSL,One year,Credit card,2,0
CUST_000116,46,6,63.13,447.26,Fiber,Month-to-month,Electronic check,1,0
CUST_000117,41,18,83.16,1561.91,DSL,One year,Electronic check,2,1
CUST_000118,24,38,65.35,2476.76,Fiber,Two year,Credit card,4,0
CUST_000119,59,1,74.71,74.71,DSL,Two year,Mailed check,4,0
CUST_000120,53,99,47.57,4738.3,DSL,Month-to-month,Credit card,4,0
CUST_000121,53,14,94.75,1408.69,DSL,Month-to-month,Mailed check,2,1
CUST_000122,28,10,76.23,762.83,Fiber,Two year,Bank transfer,2,0
CUST_000123,63,8,85.95,808.66,DSL,One year,Mailed check,1,0
CUST_000124,20,4,72.3,267.71,Fiber,Month-to-month,Credit card,2,1
CUST_000125,50,37,81.5,2917.39,Fiber,One year,Mailed check,1,0
CUST_000126,74,74,47.54,3516.85,Fiber,Month-to-month,Bank transfer,0,1
CUST_000127,27,12,55.17,672.66,DSL,Month-to-month,Bank transfer,2,1
CUST_000128,33,73,91.93,6702.66,Fiber,One year,Bank transfer,4,0
CUST_000129,43,41,96.19,4072.05,No,Month-to-month,Mailed check,1,0
CUST_000130,34,15,42.06,711.41,DSL,Month-to-month,Bank transfer,2,1
CUST_000131,18,26,69.99,1676.77,DSL,One year,Electronic check,0,0
CUST_000132,43,13,56.38,886.39,DSL,Two year,Credit card,1,0
CUST_000133,26,19,51.06,695.99,Fiber,One year,Electronic check,1,0
CUST_000134,49,1,70.7,285.8,DSL,Month-to-month,Credit card,1,0
CUST_000135,28,28,87.82,2430.21,No,One year,Bank transfer,4,1
CUST_000136,65,1,74.03,74.03,Fiber,One year,Mailed check,0,0
CUST_000137,30,40,58.61,2338.39,DSL,One year,Mailed check,2,0
CUST_000138,37,41,75.3,3125.71,No,Month-to-month,Credit card,1,1
CUST_000139,54,6,57.8,346.78,DSL,Month-to-month,Electronic check,4,0
CUST_000140,23,9,73.24,645.84,DSL,One year,Bank transfer,1,0
CUST_000141,45,15,92.93,1524.83,DSL,Month-to-month,Electronic check,2,1
CUST_000142,61,21,23.46,549.15,DSL,Month-to-month,Credit card,0,1
CUST_000143,18,8,80.95,551.68,Fiber,Month-to-month,Bank transfer,1,1
CUST_000144,44,21,34.22,792.66,DSL,Month-to-month,Credit card,3,0
CUST_000145,45,8,89.57,768.94,Fiber,Month-to-month,Credit card,2,1
CUST_000146,53,1,52.26,52.26,Fiber,Two year,Bank transfer,3,1
CUST_000147,23,1,40.65,119.86,DSL,One year,Electronic check,1,1
CUST_000148,22,2,78.91,142.05,Fiber,Month-to-month,Electronic check,3,1
CUST_000149,49,37,72.28,2652.32,Fiber,Two year,Electronic check,1,0
CUST_000150,46,78,45.02,3486.38,No,One year,Electronic check,6,0
CUST_000151,45,13,39.94,276.41,DSL,Month-to-month,Mailed check,1,1
CUST_000152,47,17,61.25,988.59,DSL,One year,Credit card,1,0
CUST_000153,31,3,40.92,194.07,No,Month-to-month,Electronic check,3,1
CUST_000154,45,19,43.77,829.4,DSL,Month-to-month,Electronic check,1,0
CUST_000155,46,3,67.31,73.42,DSL,Two year,Bank transfer,3,0
CUST_000156,31,22,45.68,1101.48,Fiber,One year,Credit card,1,0
CUST_000157,69,64,73.53,4676.11,DSL,Month-to-month,Electronic check,3,1
CUST_000158,49,5,94.8,351.86,Fiber,Month-to-month,Mailed check,3,1
CUST_000159,24,34,62.03,2329.58,No,Month-to-month,Mailed check,2,0
CUST_000160,51,1,67.6,67.6,Fiber,Two year,Electronic check,2,0
CUST_000161,27,11,105.36,1246.93,Fiber,Month-to-month,Bank transfer,1,1
CUST_000162,53,2,41.25,41.25,DSL,One year,Bank transfer,3,1
CUST_000163,59,10,88.82,901.83,Fiber,Month-to-month,Credit card,0,1
CUST_000164,29,4,86.42,255.45,Fiber,Month-to-month,Credit card,3,1
CUST_000165,56,11,82.09,779.02,DSL,Two year,Credit card,2,0
CUST_000166,48,12,90.83,1142.24,DSL,Month-to-month,Bank transfer,4,1
CUST_000167,54,8,70.61,605.42,Fiber,One year,Electronic check,1,0
CUST_000168,70,25,53.34,1448.0,DSL,Two year,Electronic check,1,0
CUST_000169,38,60,86.89,5210.05,Fiber,One year,Bank transfer,3,1
CUST_000170,30,12,87.66,1273.92,DSL,Two year,Credit card,3,0
CUST_000171,28,5,87.11,462.37,DSL,One year,Bank transfer,3,0
CUST_000172,29,7,65.89,517.91,DSL,Month-to-month,Credit card,3,0
CUST_000173,40,46,50.68,2195.26,No,Two year,Electronic check,3,0
CUST_000174,47,20,68.83,1315.14,Fiber,Two year,Electronic check,2,0
CUST_000175,46,14,83.84,1225.79,Fiber,Month-to-month,Credit card,3,0
CUST_000176,54,3,85.49,248.04,DSL,Month-to-month,Credit card,2,1
CUST_000177,42,14,56.41,808.46,DSL,Month-to-month,Mailed check,2,0
CUST_000178,63,7,71.31,417.5,DSL,Month-to-month,Electronic check,3,1
CUST_000179,38,68,38.82,2652.26,DSL,Month-to-month,Electronic check,2,0
CUST_000180,80,51,84.7,4331.5,Fiber,Month-to-month,Electronic check,2,0
CUST_000181,51,2,49.33,49.33,Fiber,Two year,Mailed check,1,1
CUST_000182,29,17,80.71,1436.24,DSL,One year,Electronic check,1,0
CUST_000183,25,6,42.01,82.08,No,Two year,Mailed check,1,0
CUST_000184,49,12,85.63,1045.96,DSL,One year,Mailed check,0,0
CUST_000185,38,50,71.44,3748.39,Fiber,Month-to-month,Mailed check,0,0
CUST_000186,52,17,49.37,907.39,DSL,Month-to-month,Bank transfer,0,1
CUST_000187,49,9,78.83,776.87,DSL,One year,Bank transfer,0,0
CUST_000188,40,5,53.19,176.22,Fiber,Two year,Mailed check,0,0
CUST_000189,29,38,79.99,3216.57,DSL,Two year,Mailed check,0,0
CUST_000190,19,23,59.52,1506.58,DSL,One year,Mailed check,4,0
CUST_000191,35,15,30.58,374.33,DSL,One year,Electronic check,0,0
CUST_000192,54,5,45.35,179.28,DSL,One year,Mailed check,1,0
CUST_000193,45,9,56.39,632.99,Fiber,Month-to-month,Electronic check,4,1
CUST_000194,23,77,92.36,7291.63,Fiber,Month-to-month,Electronic check,3,1
CUST_000195,44,17,83.02,1284.92,DSL,One year,Bank transfer,3,1
CUST_000196,47,12,97.48,1069.36,DSL,Month-to-month,Credit card,1,0
CUST_000197,28,17,98.07,1652.86,No,One year,Credit card,2,1
CUST_000198,44,36,54.3,1737.87,DSL,Month-to-month,Credit card,2,1
CUST_000199,42,9,61.23,552.98,Fiber,Month-to-month,Bank transfer,3,0
CUST_000200,24,4,56.77,345.67,No,One year,Credit card,2,0
CUST_000201,47,21,51.57,939.1,DSL,One year,Credit card,4,0
CUST_000202,50,26,28.17,745.13,DSL,Month-to-month,Mailed check,0,0
CUST_000203,58,29,64.71,1818.27,No,Two year,Bank transfer,0,1
CUST_000204,57,51,39.29,2167.72,DSL,Month-to-month,Mailed check,2,1
CUST_000205,21,11,64.32,650.5,DSL,One year,Electronic check,2,0
CUST_000206,27,1,107.32,259.21,Fiber,Two year,Mailed check,1,0
CUST_000207,49,76,54.81,4106.05,DSL,Month-to-month,Mailed check,1,1
CUST_000208,49,13,68.9,972.76,No,Two year,Bank transfer,1,0
CUST_000209,49,23,83.13,1937.25,DSL,One year,Credit card,3,0
CUST_000210,80,26,70.61,1821.92,Fiber,Month-to-month,Credit card,1,1
CUST_000211,50,18,70.85,1196.24,Fiber,One year,Mailed check,0,0
CUST_000212,59,5,57.75,321.07,Fiber,Two year,Credit card,2,1
CUST_000213,56,33,60.36,1947.91,Fiber,One year,Credit card,4,0
CUST_000214,51,39,45.8,1717.22,No,One year,Electronic check,0,0
CUST_000215,37,19,81.92,1703.77,No,Month-to-month,Bank transfer,0,1
CUST_000216,53,16,30.17,537.48,DSL,Month-to-month,Mailed check,4,1
CUST_000217,30,2,84.42,233.21,Fiber,One year,Electronic check,3,0
CUST_000218,38,2,36.93,36.93,DSL,One year,Bank transfer,0,1
CUST_000219,34,9,84.25,739.67,Fiber,Two year,Bank transfer,1,1
CUST_000220,43,8,57.92,438.53,DSL,Month-to-month,Electronic check,3,0
CUST_000221,76,73,40.36,2980.2,Fiber,Month-to-month,Credit card,3,1
CUST_000222,18,36,76.59,2821.28,DSL,Month-to-month,Bank transfer,0,1
CUST_000223,52,25,83.58,2086.36,Fiber,Month-to-month,Electronic check,1,1
CUST_000224,18,17,56.24,876.79,DSL,Month-to-month,Bank transfer,3,0
CUST_000225,34,4,79.41,393.71,No,One year,Mailed check,1,0
CUST_000226,58,92,20.0,1843.34,Fiber,Month-to-month,Mailed check,2,0
CUST_000227,42,11,38.59,280.39,No,Two year,Credit card,2,1
CUST_000228,25,2,90.85,90.85,Fiber,One year,Electronic check,5,1
CUST_000229,31,16,60.53,998.22,No,Two year,Mailed check,5,0
CUST_000230,52,49,27.76,1277.08,Fiber,Month-to-month,Credit card,3,1
CUST_000231,31,52,51.02,2696.29,Fiber,One year,Bank transfer,4,0
CUST_000232,45,1,46.53,46.53,DSL,One year,Electronic check,4,0
CUST_000233,42,52,61.68,3220.72,Fiber,Two year,Credit card,2,0
CUST_000234,32,7,57.58,365.25,DSL,One year,Credit card,0,0
CUST_000235,74,1,68.58,243.77,DSL,One year,Bank transfer,0,0
CUST_000236,51,45,63.61,2957.51,Fiber,One year,Credit card,1,0
CUST_000237,18,47,92.19,4467.88,DSL,Month-to-month,Mailed check,0,0
CUST_000238,44,21,73.49,1545.72,DSL,One year,Mailed check,4,1
CUST_000239,32,20,74.15,1565.3,DSL,Two year,Mailed check,1,0
CUST_000240,54,40,88.3,3541.29,DSL,Month-to-month,Bank transfer,1,1
CUST_000241,30,37,57.22,2264.27,DSL,One year,Credit card,6,0
CUST_000242,40,52,39.76,2060.39,DSL,One year,Credit card,2,0
CUST_000243,49,19,89.14,1553.9,DSL,Two year,Electronic check,0,0
CUST_000244,54,82,67.72,5352.92,Fiber,Month-to-month,Bank transfer,3,0
CUST_000245,23,120,67.79,8301.27,DSL,Month-to-month,Credit card,4,1
CUST_000246,36,2,52.33,152.52,No,Month-to-month,Electronic check,2,0
CUST_000247,34,45,52.66,2424.26,No,Month-to-month,Bank transfer,3,0
CUST_000248,32,16,81.93,1459.92,DSL,One year,Credit card,2,1
CUST_000249,68,11,84.69,766.45,DSL,Month-to-month,Credit card,3,0
CUST_000250,48,22,80.68,1739.02,DSL,One year,Mailed check,1,0
CUST_000251,23,1,80.86,80.86,No,Two year,Electronic check,4,1
CUST_000252,55,16,76.38,1296.32,Fiber,Month-to-month,Bank transfer,3,0
CUST_000253,73,49,67.63,3244.63,Fiber,Month-to-month,Credit card,4,0
CUST_000254,57,5,61.49,187.32,No,Two year,Bank transfer,3,0
CUST_000255,19,13,89.21,1038.65,No,One year,Mailed check,2,0
CUST_000256,34,67,57.53,3969.16,No,Month-to-month,Credit card,1,1
CUST_000257,61,13,72.4,866.94,Fiber,Month-to-month,Mailed check,2,0
CUST_000258,31,10,48.92,434.0,No,Two year,Bank transfer,0,0
CUST_000259,48,13,51.81,737.03,No,Month-to-month,Mailed check,4,0
CUST_000260,53,17,60.28,954.81,DSL,One year,Mailed check,2,0
CUST_000261,28,23,48.92,954.69,No,Month-to-month,Electronic check,1,0
CUST_000262,41,38,80.96,2918.2,Fiber,Month-to-month,Electronic check,2,1
CUST_000263,18,14,38.04,526.87,DSL,Two year,Credit card,1,1
CUST_000264,26,40,66.98,2729.12,Fiber,Month-to-month,Electronic check,3,0
CUST_000265,38,18,67.65,1197.48,Fiber,Month-to-month,Electronic check,1,1
CUST_000266,23,9,28.78,302.1,DSL,Month-to-month,Bank transfer,0,1
CUST_000267,66,25,56.18,1243.2,No,One year,Bank transfer,3,0
CUST_000268,20,30,70.11,1948.89,DSL,Month-to-month,Bank transfer,1,0
CUST_000269,35,19,73.57,1623.31,No,Month-to-month,Mailed check,0,0
CUST_000270,43,1,60.91,184.19,DSL,Month-to-month,Electronic check,0,0
CUST_000271,63,4,78.54,391.05,DSL,Month-to-month,Electronic check,4,0
CUST_000272,20,8,62.81,436.54,No,Month-to-month,Electronic check,1,0
CUST_000273,59,7,65.27,433.11,DSL,Two year,Credit card,6,0
CUST_000274,42,26,70.03,1820.69,No,Month-to-month,Bank transfer,2,0
CUST_000275,27,1,83.54,214.97,DSL,One year,Mailed check,1,1
CUST_000276,48,33,51.49,1739.3,No,Month-to-month,Mailed check,3,1
CUST_000277,44,7,55.26,439.44,DSL,Month-to-month,Bank transfer,1,1
CUST_000278,32,8,51.62,396.21,DSL,Month-to-month,Mailed check,3,0
CUST_000279,43,18,58.36,1129.68,No,Month-to-month,Credit card,2,0
CUST_000280,36,5,93.52,497.86,DSL,Month-to-month,Electronic check,3,0
CUST_000281,43,51,76.45,3903.58,No,One year,Mailed check,3,0
CUST_000282,51,2,42.38,42.38,No,Two year,Credit card,3,0
CUST_000283,65,14,52.99,730.52,DSL,Month-to-month,Electronic check,3,0
CUST_000284,23,45,72.46,3152.54,Fiber,One year,Bank transfer,1,0
CUST_000285,73,22,46.87,1027.12,DSL,Month-to-month,Mailed check,2,1
CUST_000286,18,8,50.49,412.84,DSL,Month-to-month,Mailed check,5,1
CUST_000287,39,13,91.9,954.24,DSL,Month-to-month,Electronic check,0,1
CUST_000288,50,29,52.73,1506.21,Fiber,Month-to-month,Electronic check,2,1
CUST_000289,46,86,84.09,7114.44,No,Month-to-month,Electronic check,5,1
CUST_000290,32,53,90.11,4825.51,DSL,One year,Credit card,1,0
CUST_000291,38,10,50.33,567.02,DSL,Month-to-month,Credit card,1,0
CUST_000292,34,120,47.2,5621.46,Fiber,Month-to-month,Electronic check,5,0
CUST_000293,33,1,59.48,114.38,DSL,One year,Electronic check,3,0
CUST_000294,54,1,43.23,102.33,Fiber,Month-to-month,Bank transfer,3,0
CUST_000295,47,41,67.42,2741.28,Fiber,One year,Bank transfer,0,0
CUST_000296,31,5,60.89,457.86,No,Month-to-month,Bank transfer,1,0
CUST_000297,55,1,72.21,72.21,Fiber,Month-to-month,Bank transfer,0,1
CUST_000298,46,6,92.94,704.77,DSL,Two year,Credit card,2,0
CUST_000299,54,13,81.35,1035.03,Fiber,Month-to-month,Electronic check,1,1
CUST_000300,51,31,74.78,2234.0,No,Two year,Electronic check,1,0
CUST_000301,29,23,25.68,555.46,No,Month-to-month,Credit card,1,0
CUST_000302,33,6,73.87,333.27,DSL,Month-to-month,Mailed check,0,1
CUST_000303,53,16,99.45,1669.7,Fiber,Month-to-month,Credit card,1,1
CUST_000304,51,62,20.0,1079.72,Fiber,Month-to-month,Bank transfer,1,1
CUST_000305,41,40,78.79,3290.47,DSL,Month-to-month,Bank transfer,5,0
CUST_000306,43,9,61.81,462.73,DSL,Month-to-month,Bank transfer,3,0
CUST_000307,61,96,48.0,4692.06,Fiber,Month-to-month,Electronic check,7,1
CUST_000308,33,29,81.02,2352.08,DSL,Month-to-month,Electronic check,1,1
CUST_000309,50,1,99.19,126.28,DSL,Two year,Credit card,0,1
CUST_000310,38,1,80.5,80.5,DSL,Month-to-month,Electronic check,2,0
CUST_000311,38,4,57.58,265.59,DSL,One year,Electronic check,1,0
CUST_000312,58,31,46.13,1443.55,DSL,Two year,Bank transfer,0,0
CUST_000313,54,4,67.89,125.78,Fiber,Month-to-month,Bank transfer,3,1
CUST_000314,54,17,82.46,1305.63,No,Month-to-month,Electronic check,1,1
CUST_000315,61,2,57.26,60.43,Fiber,Month-to-month,Mailed check,0,0
CUST_000316,42,60,59.19,3476.04,DSL,Month-to-month,Mailed check,2,1
CUST_000317,52,10,121.44,1339.68,No,Month-to-month,Credit card,0,1
CUST_000318,37,57,86.57,4935.36,DSL,Month-to-month,Credit card,2,0
CUST_000319,46,69,88.0,5994.31,DSL,Month-to-month,Credit card,1,1
CUST_000320,40,1,35.79,35.79,DSL,Month-to-month,Credit card,4,1
CUST_000321,43,14,50.86,661.54,Fiber,Month-to-month,Credit card,3,0
CUST_000322,50,1,66.49,66.49,Fiber,Month-to-month,Credit card,2,1
CUST_000323,29,57,44.98,2456.17,No,Month-to-month,Electronic check,0,0
CUST_000324,73,17,97.01,1567.74,Fiber,One year,Mailed check,5,1
CUST_000325,26,1,93.21,169.87,Fiber,One year,Bank transfer,2,1
CUST_000326,23,2,54.33,127.19,DSL,Month-to-month,Credit card,2,1
CUST_000327,59,11,100.68,1092.23,Fiber,One year,Bank transfer,3,1
CUST_000328,53,67,64.91,4349.56,No,Month-to-month,Electronic check,2,1
CUST_000329,51,28,116.79,3265.5,DSL,One year,Credit card,0,0
CUST_000330,51,48,67.89,3237.99,DSL,Month-to-month,Credit card,4,0
CUST_000331,41,10,76.52,816.95,DSL,Month-to-month,Bank transfer,1,1
CUST_000332,28,1,93.0,137.31,Fiber,One year,Credit card,2,0
CUST_000333,43,87,90.55,7720.91,Fiber,Two year,Bank transfer,2,0
CUST_000334,31,1,75.21,75.21,Fiber,One year,Electronic check,4,0
CUST_000335,56,70,62.18,4201.82,Fiber,Month-to-month,Electronic check,5,0
CUST_000336,39,11,75.28,891.67,Fiber,Month-to-month,Credit card,1,1
CUST_000337,29,1,48.68,125.44,Fiber,Month-to-month,Electronic check,2,0
CUST_000338,37,28,68.04,1844.12,No,One year,Credit card,1,0
CUST_000339,48,94,42.81,4012.83,No,Month-to-month,Mailed check,2,1
CUST_000340,33,80,29.38,2139.45,DSL,One year,Credit card,1,0
CUST_000341,29,4,66.01,361.31,Fiber,One year,Bank transfer,0,0
CUST_000342,45,4,90.25,431.95,Fiber,One year,Bank transfer,2,0
CUST_000343,45,20,83.52,1785.33,DSL,One year,Electronic check,4,0
CUST_000344,34,24,63.36,1669.34,No,One year,Electronic check,2,0
CUST_000345,34,32,99.94,3075.66,DSL,Month-to-month,Credit card,3,0
CUST_000346,45,4,53.62,303.28,Fiber,One year,Electronic check,3,0
CUST_000347,20,76,26.64,2172.82,DSL,Two year,Bank transfer,2,0
CUST_000348,20,24,21.36,363.13,Fiber,Two year,Bank transfer,4,0
CUST_000349,31,45,41.38,1844.81,DSL,Month-to-month,Credit card,2,1
CUST_000350,38,18,81.33,1427.64,DSL,One year,Electronic check,4,0
CUST_000351,46,12,52.3,713.19,DSL,Two year,Bank transfer,1,0
CUST_000352,64,90,74.22,6440.33,DSL,One year,Bank transfer,2,0
CUST_000353,54,20,97.93,2140.11,No,Month-to-month,Electronic check,3,1
CUST_000354,39,48,43.0,2052.65,DSL,Two year,Bank transfer,0,0
CUST_000355,41,73,74.57,5535.22,Fiber,Month-to-month,Mailed check,2,0
CUST_000356,26,27,75.78,2040.02,Fiber,Month-to-month,Electronic check,1,0
CUST_000357,41,19,47.79,957.13,DSL,Month-to-month,Mailed check,3,0
CUST_000358,37,1,92.08,92.08,DSL,Month-to-month,Electronic check,4,1
CUST_000359,46,1,59.25,59.25,DSL,Month-to-month,Credit card,2,1
